iter	Passed	Remaining
0	6	6855
1	14	7332
2	21	7175
3	29	7337
4	36	7229
5	43	7134
6	50	7139
7	56	7063
8	64	7114
9	72	7164
10	80	7240
11	87	7242
12	96	7363
13	105	7410
14	114	7509
15	121	7495
16	130	7534
17	137	7497
18	145	7534
19	153	7519
20	162	7556
21	170	7557
22	178	7599
23	186	7600
24	195	7623
25	203	7606
26	211	7633
27	220	7643
28	229	7675
29	238	7698
30	244	7657
31	253	7669
32	262	7690
33	271	7715
34	280	7737
35	290	7780
36	299	7787
37	308	7814
38	318	7841
39	327	7869
40	337	7892
41	346	7913
42	355	7901
43	364	7921
44	374	7944
45	382	7935
46	392	7955
47	400	7952
48	410	7968
49	418	7958
50	429	7992
51	439	8013
52	449	8024
53	459	8047
54	470	8079
55	480	8104
56	490	8120
57	499	8118
58	510	8140
59	521	8164
60	529	8158
61	540	8178
62	550	8195
63	559	8175
64	569	8198
65	579	8204
66	592	8245
67	605	8297
68	617	8331
69	631	8391
70	645	8446
71	658	8493
72	673	8550
73	687	8601
74	699	8627
75	712	8658
76	724	8690
77	738	8731
78	751	8759
79	764	8789
80	779	8840
81	791	8865
82	804	8893
83	818	8927
84	832	8963
85	847	9010
86	861	9039
87	874	9065
88	889	9106
89	902	9123
90	915	9144
91	928	9168
92	943	9197
93	956	9215
94	969	9238
95	982	9250
96	995	9266
97	1009	9288
98	1022	9308
99	1035	9319
100	1048	9329
101	1057	9306
102	1069	9313
103	1082	9326
104	1093	9324
105	1123	9475
106	1136	9485
107	1149	9494
108	1162	9499
109	1175	9509
110	1188	9522
111	1202	9537
112	1216	9546
113	1229	9552
114	1242	9563
115	1257	9582
116	1271	9599
117	1289	9636
118	1308	9689
119	1322	9699
120	1336	9711
121	1352	9736
122	1367	9746
123	1382	9768
124	1399	9794
125	1414	9813
126	1430	9833
127	1446	9850
128	1461	9868
129	1475	9876
130	1492	9902
131	1509	9923
132	1521	9919
133	1536	9931
134	1551	9939
135	1565	9944
136	1579	9948
137	1594	9959
138	1609	9971
139	1624	9981
140	1640	9992
141	1654	9995
142	1668	9998
